Timestamp,Fahrleistung,Daheimladen,Elektrisch_Heizen,Elektrisch_Wasser,Stromverbrauch,Stromerzeugung
4/4/2019 13:49:49,20000,Ja,Nein,Nein,6800,
4/4/2019 14:03:52,20000,Ja,Nein,Nein,5000,
4/4/2019 14:05:34,10000,Nein,Nein,Ja,3000,
4/4/2019 14:23:06,40000,Ja,Nein,Nein,11500,11000
4/4/2019 15:34:37,50000,Nein,Nein,Nein,900,
4/4/2019 15:42:16,10000,Ja,Ja,Nein,7500,8000
4/4/2019 16:26:23,30000,Ja,Nein,Ja,11500,
4/4/2019 17:09:59,30000,Nein,Nein,Nein,2500,
4/4/2019 17:23:41,30000,Ja,Nein,Nein,6000,
4/4/2019 18:25:06,12000,Nein,Nein,Nein,3500,
4/4/2019 19:00:24,27000,Ja,Nein,Nein,7233,
4/4/2019 20:37:11,30000,Nein,Nein,Nein,2500,
4/4/2019 21:17:16,20000,Ja,Nein,Nein,6000,
4/4/2019 21:41:18,10000,Ja,Ja,Nein,8800,9900
4/4/2019 22:06:34,20000,Nein,Nein,Nein,4874,
4/4/2019 22:22:33,20000,Nein,Nein,Ja,600,1800
4/4/2019 23:46:48,8000,Ja,Nein,Nein,7900,
4/5/2019 7:11:59,35000,Ja,Nein,Nein,6000,
4/5/2019 8:09:21,30000,Ja,Nein,Nein,6000,1000
4/5/2019 13:15:43,12000,Nein,Nein,Nein,5000,6500
4/5/2019 13:55:57,13000,Nein,Nein,Nein,600,
4/5/2019 14:19:29,12000,Ja,Nein,Nein,5000,
4/5/2019 15:37:32,10000,Ja,Ja,Nein,8000,12000
4/5/2019 15:58:11,30000,Ja,Nein,Nein,5000,
4/5/2019 16:30:54,15000,Nein,Nein,Nein,1800,
4/5/2019 16:34:43,25000,Ja,Nein,Nein,7200,3500
4/5/2019 22:43:47,45000,Ja,Nein,Nein,4000,25000
4/6/2019 7:57:17,15000,Ja,Ja,Nein,8000,12000
4/6/2019 8:57:53,20000,Nein,Nein,Ja,4800,
4/6/2019 11:20:41,12000,Ja,Nein,Nein,4280,
4/6/2019 20:41:32,30000,Ja,Ja,Ja,20000,20000
4/7/2019 6:39:31,22500,Ja,Ja,Nein,2200,
4/7/2019 20:56:23,15000,Nein,Ja,Nein,3200,7000
